NMEA Sentence Code,UTC Time,Status,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed (knots),Track Angle (degrees true),Date,MagneticVariation,Magnetic Variation Direction,[FAA Mode]-Optional,Checksum
$GPRMC,195239.3,A,3335.4740,N,11729.8571,W,38.20,204.20,300110,,*2F
$GPRMC,195242.3,A,3335.4479,N,11729.8795,W,40.80,218.00,300110,,*28
$GPRMC,195245.3,A,3335.4339,N,11729.9151,W,40.90,240.30,300110,,*2C
$GPRMC,195248.3,A,3335.4246,N,11729.9518,W,38.60,250.80,300110,,*2B
$GPRMC,195251.3,A,3335.4193,N,11729.9878,W,35.20,262.90,300110,,*2A
$GPRMC,195254.3,A,3335.4260,N,11730.0208,W,32.30,282.10,300110,,*2C
$GPRMC,195257.3,A,3335.4392,N,11730.0547,W,34.50,281.00,300110,,*2D
$GPRMC,195300.3,A,3335.4381,N,11730.0907,W,36.10,268.20,300110,,*27
$GPRMC,195303.3,A,3335.4256,N,11730.1268,W,38.20,252.30,300110,,*29
$GPRMC,195306.3,A,3335.4127,N,11730.1637,W,37.60,257.10,300110,,*2B
$GPRMC,195309.3,A,3335.4103,N,11730.2017,W,39.80,267.90,300110,,*2E
$GPRMC,195312.3,A,3335.4169,N,11730.2384,W,39.80,281.00,300110,,*20
$GPRMC,195315.3,A,3335.4355,N,11730.2701,W,39.80,301.10,300110,,*2B
$GPRMC,195318.3,A,3335.4543,N,11730.3046,W,42.40,301.80,300110,,*2B
$GPRMC,195321.3,A,3335.4732,N,11730.3405,W,42.30,301.80,300110,,*21
$GPRMC,195324.3,A,3335.4897,N,11730.3764,W,39.90,295.00,300110,,*22
$GPRMC,195327.3,A,3335.4995,N,11730.4160,W,42.30,284.80,300110,,*29
$GPRMC,195330.3,A,3335.4959,N,11730.4551,W,39.50,264.90,300110,,*2C
$GPRMC,195333.3,A,3335.4895,N,11730.4931,W,38.50,262.50,300110,,*2F
$GPRMC,195336.3,A,3335.4939,N,11730.5312,W,37.10,277.90,300110,,*24
$GPRMC,195339.3,A,3335.5073,N,11730.5681,W,38.80,292.10,300110,,*27
$GPRMC,195342.3,A,3335.5261,N,11730.6058,W,41.80,297.10,300110,,*20
$GPRMC,195345.3,A,3335.5405,N,11730.6426,W,38.10,292.20,300110,,*2F
$GPRMC,195348.3,A,3335.5463,N,11730.6839,W,39.50,279.20,300110,,*20
$GPRMC,195351.3,A,3335.5382,N,11730.7255,W,41.00,259.90,300110,,*22
$GPRMC,195354.3,A,3335.5215,N,11730.7643,W,43.10,245.00,300110,,*2C
$GPRMC,195357.3,A,3335.5033,N,11730.8016,W,42.00,237.00,300110,,*25
$GPRMC,195400.3,A,3335.4767,N,11730.8302,W,41.70,221.20,300110,,*20
$GPRMC,195403.3,A,3335.4463,N,11730.8481,W,39.90,207.30,300110,,*2C
$GPRMC,195406.3,A,3335.4130,N,11730.8581,W,40.90,202.20,300110,,*21
$GPRMC,195409.3,A,3335.3830,N,11730.8772,W,40.80,211.20,300110,,*2D
$GPRMC,195412.3,A,3335.3546,N,11730.9076,W,43.90,219.90,300110,,*28
$GPRMC,195415.3,A,3335.3383,N,11730.9484,W,44.40,240.50,300110,,*23
$GPRMC,195418.3,A,3335.3211,N,11730.9887,W,43.50,236.60,300110,,*2F
$GPRMC,195421.3,A,3335.2994,N,11731.0242,W,45.90,236.20,300110,,*27
$GPRMC,195424.3,A,3335.2756,N,11731.0530,W,43.80,234.70,300110,,*20
$GPRMC,195427.3,A,3335.2588,N,11731.0891,W,43.10,241.00,300110,,*28
$GPRMC,195430.3,A,3335.2439,N,11731.1298,W,44.00,246.90,300110,,*2F
$GPRMC,195433.3,A,3335.2337,N,11731.1696,W,43.40,250.30,300110,,*21
$GPRMC,195436.3,A,3335.2232,N,11731.2093,W,41.50,252.10,300110,,*23
$GPRMC,195439.3,A,3335.2135,N,11731.2474,W,40.30,251.80,300110,,*28
$GPRMC,195442.3,A,3335.1983,N,11731.2833,W,40.60,238.50,300110,,*2A
$GPRMC,195445.3,A,3335.1764,N,11731.3112,W,36.40,226.20,300110,,*2A
$GPRMC,195449.3,A,3335.1321,N,11731.3252,W,34.90,192.50,300110,,*20
$GPRMC,195452.3,A,3335.0965,N,11731.3282,W,40.30,189.10,300110,,*2B
$GPRMC,195455.3,A,3335.0640,N,11731.3408,W,40.10,202.30,300110,,*20
$GPRMC,195458.3,A,3335.0354,N,11731.3667,W,45.60,218.20,300110,,*2E
$GPRMC,195501.3,A,3335.0165,N,11731.4039,W,43.50,232.10,300110,,*27
$GPRMC,195504.3,A,3334.9916,N,11731.4374,W,45.00,227.60,300110,,*2C
$GPRMC,195507.3,A,3334.9695,N,11731.4744,W,45.80,236.80,300110,,*2A
$GPRMC,195510.3,A,3334.9531,N,11731.5157,W,46.60,243.30,300110,,*20
$GPRMC,195513.3,A,3334.9355,N,11731.5597,W,49.10,243.80,300110,,*2C
$GPRMC,195516.3,A,3334.9160,N,11731.6074,W,53.70,243.30,300110,,*20
$GPRMC,195519.3,A,3334.8952,N,11731.6562,W,56.60,243.40,300110,,*26
$GPRMC,195522.3,A,3334.8745,N,11731.7065,W,56.40,243.30,300110,,*20
$GPRMC,195525.3,A,3334.8532,N,11731.7564,W,54.70,243.20,300110,,*21
$GPRMC,195528.3,A,3334.8335,N,11731.8048,W,52.60,243.50,300110,,*29
$GPRMC,195531.3,A,3334.8145,N,11731.8498,W,49.70,243.00,300110,,*23
$GPRMC,195534.3,A,3334.7957,N,11731.8935,W,49.50,242.40,300110,,*2F
$GPRMC,195537.3,A,3334.7772,N,11731.9368,W,48.50,243.20,300110,,*20
$GPRMC,195540.3,A,3334.7595,N,11731.9794,W,47.40,243.70,300110,,*27
